,AdjClose,Close,Date,High,Low,Open,Volume
2449,"16,158.42","16,158.42","May 16, 2006","16,596.48","16,116.73","16,508.89","134,600"
2450,"16,486.91","16,486.91","May 15, 2006","16,486.91","16,317.20","16,395.88","118,800"
2451,"16,601.78","16,601.78","May 12, 2006","16,655.98","16,422.49","16,655.98","131,600"
2452,"16,862.14","16,862.14","May 11, 2006","17,087.00","16,840.85","16,887.37","110,200"
2453,"16,951.93","16,951.93","May 10, 2006","17,253.11","16,883.39","17,161.47","127,600"
2454,"17,190.91","17,190.91","May 9, 2006","17,294.50","17,178.95","17,253.81","116,600"
2455,"17,291.67","17,291.67","May 8, 2006","17,375.25","17,248.59","17,334.19","121,000"
2456,"17,153.77","17,153.77","May 2, 2006","17,188.54","16,900.33","16,920.13","89,200"
2457,"16,925.71","16,925.71","May 1, 2006","16,965.33","16,868.69","16,929.83","79,600"
2458,"16,906.23","16,906.23","Apr 28, 2006","17,043.67","16,750.50","17,039.37","112,400"
2459,"17,114.54","17,114.54","Apr 27, 2006","17,176.06","17,094.72","17,118.92","103,600"
2460,"17,055.93","17,055.93","Apr 26, 2006","17,107.93","16,944.54","16,993.23","105,200"
2461,"16,970.29","16,970.29","Apr 25, 2006","17,000.20","16,787.44","16,929.36","103,400"
2462,"16,914.40","16,914.40","Apr 24, 2006","17,245.62","16,892.15","17,245.62","110,600"
2463,"17,403.96","17,403.96","Apr 21, 2006","17,479.73","17,258.49","17,332.35","109,000"
2464,"17,317.53","17,317.53","Apr 20, 2006","17,412.59","17,283.97","17,391.94","96,200"
2465,"17,350.12","17,350.12","Apr 19, 2006","17,459.24","17,350.12","17,405.92","104,600"
2466,"17,232.86","17,232.86","Apr 18, 2006","17,268.05","16,945.30","16,971.76","98,400"
2467,"17,000.36","17,000.36","Apr 17, 2006","17,233.73","17,000.36","17,233.73","78,200"
2468,"17,233.82","17,233.82","Apr 14, 2006","17,319.33","17,149.08","17,319.33","89,600"
